sample	group
S1	Van
S2	Van
S3	Van
S4	Van
S5	Van
S6	Van
S7	Van
S8	Van
S9	Van
S10	Van
S11	Van
S12	PBS
S13	PBS
S14	PBS
S15	PBS
S16	PBS
S17	PBS
S18	PBS
S19	PBS
S20	PBS
S21	PBS
S22	PBS
