gene_name,C10,C11,C12,N10,N11,N12,N7,N8,N9,V11,V12,C7,C8,V7,V8,V9
Gm11407,0.5277625509509327,0.4446499376963157,0.1993058493920231,0.0513172706155438,0.2217964947627958,0.1817614760869376,0.1512702018977314,0.1463205676407984,0.0,0.0580626162447396,0.177502717243741,0.360794640844638,0.2901578421988781,0.2316780214165789,0.2394768610122216,0.1230997911756899
Gm11410,0.4261669065150412,0.4556067528133913,0.301466184746372,0.080279924634332,0.2281017934595278,0.040527971114125,0.1234296208011434,0.1597403236228607,0.1947942144582109,0.0568361171921148,0.2597239639387106,0.535346614501465,0.2837686354254545,0.0981570732891391,0.2746635668260289,0.1491246902877464
Gm12080,0.1164823987137878,0.1534704943949241,0.0275970059704669,0.0406963703489322,0.0439440165023323,0.0819153223069512,0.0,0.0,0.0,0.0567112618978558,0.0532264948453163,0.0439914283599505,0.1183421912330669,0.0,0.0,0.0361516211648569
Gm12161,0.0,0.8104513134925523,0.6393554686924117,1.687543092191848,0.9598841261206734,2.099057334208418,1.7612900703307348,2.016667496163928,2.0584054907532665,0.5914888867657861,2.026274872758241,0.0,0.5089447905875022,1.8267701819214908,2.093036603792545,1.31382403384342
Gm12468,0.146511667019505,0.0950802826557763,0.1697917977210001,0.0,0.108397764160943,0.0,0.0,0.1540083625282511,0.0470295541209184,0.1125840871093697,0.0500902416603669,0.0921657529050613,0.1977605996386627,0.0,0.0521088661212614,0.0427292222723827
Gm14117,1.0231002510932024,1.178643609298908,0.9795553030449766,1.5764967280084483,1.5311757395906005,2.935971658062696,0.9094835007910758,3.304632939720068,2.451755687610416,2.0825082559408785,2.9519201963275705,0.0,0.0,3.665848963066919,2.845608997250576,1.7719572992014805
Gm14239,0.2200494931333285,0.1250891106116621,0.0308124790737487,0.2832890275858487,0.7478915939513603,0.3151242458253208,0.1723716931120906,0.4941142944978146,0.2085048359941875,0.2708576818974765,0.2849003228572678,0.0448410890113727,0.0878682846168182,0.2357047765385222,0.2580655658837403,0.0788882381284565
Gm15191,0.2030623454279595,0.2829591604975291,0.2880555613293578,0.1400412815948366,0.0541977661210181,0.2245550348614195,0.2251274372042992,0.1109647920263858,0.0857223930768148,0.1660072232377945,0.1059244823541476,0.1675800493502532,0.4046654617591974,0.11831147965423,0.1172597201685977,0.2276786450721234
Gm15379,0.3393987416889098,0.1178925295544418,0.2297637670000292,0.0402035432641861,0.2265522408783928,0.0396716661658512,0.0853073470131904,0.0510508642808002,0.0406121067271321,0.0548842947767879,0.0491884832906531,0.2214393035868963,0.1650580393646155,0.0482724590322304,0.0531978757381826,0.1513771317612867
Gm15899,3.840475312587925,6.7810156945800575,6.583561895854724,15.93391488777464,6.455644632315026,12.15702333929057,6.82760956528841,9.496974151057865,12.26427311343583,8.274488113323642,9.694610305590992,3.581371792357813,5.852086481399803,9.141032265086748,12.87177249982792,7.2409637837020915
Gm16106,0.174710706942671,0.0824216899322718,0.1510670937127458,0.041284936221363,0.0475599080865498,0.0402693639668807,0.0871694803513289,0.1014044957279229,0.0,0.0,0.0,0.1334382161122981,0.0858708401327701,0.0482127493029771,0.0530726812440079,0.0784007681214496
Gm16305,0.0444749608829746,0.0408465651061696,0.0930205961571965,0.1075082165125632,0.4886659921589892,0.1910705821885308,0.1779677238751963,0.685766318198201,0.1311547164401959,0.59764252914536,0.2221957600822887,0.0,0.0432938294584793,0.0916714915916822,0.1456216704676797,0.238979397895176
Gm18537,0.0,6.509020392651422,3.196440531033153,8.49198178817361,5.204340441725582,9.83936961889638,9.537643229984017,5.019038980659299,8.8857456874717,6.139332989105124,7.059543058759642,2.287550038334147,1.2329384381259203,5.939767256856272,7.910063121328782,4.44328783137911
Gm20661,0.0842521047179666,0.086090280123677,0.0588184423448823,0.1523250197726633,0.2896462237794933,0.3328853048379288,0.3693267960215722,0.1434516875515763,0.2442780101773846,0.1797217287754815,0.2929424203334397,0.0,0.0407298164666,0.367977694333891,0.0659220473122531,0.1984946533083606
Gm28438,593.6617221371298,521.9429967781397,552.881424266826,72.55803999343345,167.78170440691346,73.48807752423589,185.0399677512912,148.0924578690976,240.4969340587101,83.49037766208735,87.56367098964485,315.07289680415306,248.21180124986165,290.8368325057719,265.19028345849847,308.8217477213589
Gm29257,0.9933605554093916,0.8818365511884528,0.9140598544049464,0.3917050716022968,0.9599940904206012,0.4488436925838984,0.5118607229699879,0.6714576109965873,0.6048339472945711,0.8651104590104943,0.5493464072825056,0.9599070386537693,0.9853532054683596,0.1049931180693411,0.5879326137520506,0.6999028985128461
Gm30970,0.0,0.820570504996995,2.5333798119310478,3.3539842218935405,1.4378680764016705,1.2945051239242087,1.8748704476557945,3.4290257868989946,1.4500244883467996,1.807603232752648,3.872900567235333,0.0,0.0,7.280715897776949,2.8464059235305985,2.504156501211496
Gm32687,7.002991747549904,13.645445897468468,7.462026772030169,7.262939627288582,5.679699650681154,2.4080625537234006,2.572397551077318,3.1888569011006984,5.76646253513981,6.553660754834304,6.785793134625537,8.334616382466967,6.545356423300184,4.83595004475133,1.4857231374411095,2.6487718939911638
Gm42927,33.065233517284945,39.47789153704004,20.207398060615912,18.117144664518644,18.688066207144963,15.659496935054417,9.651856197053377,20.32048622295814,14.973331047279588,13.956958330437446,11.926170592513976,25.65097211303541,14.318513264989797,16.06905511445637,13.997361829989574,13.953288098674925
Gm44126,0.1356926739037216,1.665408443133433,0.9967204577458444,3.1398378536221903,0.528863749830786,2.6179358775470467,1.444887609749686,2.0570468062447858,2.4036352976562507,1.445445684340234,1.7594649549907997,0.2358063870052658,0.7670331180208919,2.1801416572166934,2.3172294380965384,0.9780219100977344
Gm4518,0.7829627741801375,0.4887155814694651,0.464007244701865,0.0948085362894898,0.1865795905580804,0.3762398757054217,0.5501717203413167,0.0733955648169479,0.1513133541333395,0.5899523953460687,0.2595686190640334,0.3750480923507392,0.6569733678756573,0.2957600204698938,0.1819505611026823,0.0710173498169455
Gm4724,0.7087534871644816,0.4511125892683394,1.906602049480401,2.575556109689002,1.2274049726004177,1.5548817228885927,1.274120156036736,3.113322357468723,1.9975977990909624,1.2452117485175245,2.7830489271575267,0.6026188331103868,1.286119750834772,3.4034647343363287,4.274669741789511,1.1560805795276838
Gm47364,0.0,0.0,0.0,0.169760063360557,0.5476176465970101,0.5514479690399702,0.28017528658855,0.4392598997943794,0.3608247313364965,1.0034238719319035,0.0,0.2168931800223146,0.0,0.3784011155940529,0.6764812610996379,0.3172057369627933
Gm47441,1.9068357303243275,4.674975789863242,4.792942453571848,6.149006727962506,4.283273850305031,5.9696323661020445,5.542341841905067,10.051597554872448,7.458712395252345,6.557606045200816,8.687854816005965,4.217460000264767,4.466085448882589,10.747912474079817,6.370578713944875,5.307790761991069
Gm49325,0.0,2.19683886238893,3.2737982157136667,7.371194836098223,4.499900904861652,5.359842360907104,6.067588323253388,10.052175175244262,5.283332995459335,3.641674505874676,11.507193787622787,2.3516381848665797,4.575605071054941,17.349409111212317,14.423121634585437,7.570552203893625
Gm49391,0.0,0.0,0.0,1.3832626590227592,1.1681810156507793,0.0,0.0,1.2016933197046038,0.5653292797661551,0.5589687261217979,1.1431236659892354,0.0,0.0,1.3724834137201405,0.7491413164704893,0.9347853149226244
