gene_name,C10,C11,C12,N10,N11,N12,N7,N8,N9,V11,V12,C7,C8,V7,V8,V9
Lnx2,0.00018439399057884465,0.5073190192686986,1.300812639930606,6.21588164670896,0.9338745278615885,3.5952864884216305,1.5649386820075841,7.579157513644148,1.7979519403800508,0.2766450316525185,6.423631009285666,-1.3599597271028212,-0.44835632608706427,3.0014715178470786,1.9512102972162422,1.5894701934051862
Lsm14b,-1.6653037278158376,0.23467618722202657,1.037819452233163,1.151633192867687,0.4288313690289004,0.34097953800186237,1.9649175567154757,1.618236471435172,1.4051663014372642,1.3951811435910664,1.8198284899548818,0.10293675391444353,0.2898713344462027,3.0277984051344164,2.1344930665070945,0.7650857862599052
Ly96,-1.031356831028053,1.1505233482406372,0.7781970326498825,-1.3286900505503798,-0.784909918815295,-1.0389416663325253,-0.7140864541477768,-1.6333967510025424,-0.9422934858978683,-1.1028791033504712,-1.8160715444903572,-0.998398893233438,0.10103534337097028,-1.89509207223336,-1.841582317731857,-0.8586372592199372
Maea,-1.1821122263810229,0.4983721539805604,1.0316398029220772,0.9248731039440184,0.8975957350185549,1.2713113591014336,1.7179753810585345,1.3577826593818285,2.626663474888846,0.45445117094758314,2.1740893578913116,-0.9579900702744503,0.6100903397528347,2.6891952959075165,2.5931180582048348,0.5470016508519923
Mafk,-0.24835237551634717,-0.33917549725733714,-1.1087447288464543,3.46564072320354,2.376346942216694,3.675211034451895,3.0690950084232598,3.710229376278588,2.2383465271836545,2.921418631699043,4.6384182082539755,1.6081678252836438,0.08810477633649375,5.277971484649958,4.464356447767011,4.965285888272706
Maml1,-1.3362951684305187,0.2760508188810814,1.4368712970477129,1.4279609226157495,1.3133911619930452,1.5066914957576034,2.0129407710499247,2.1448300702523833,3.3380465695843093,0.47204637351709844,2.619007128481968,-0.1523404619637354,-0.2242864855345388,2.7266010485024887,2.0208568591664497,2.4778243361366585
Man1b1,-1.3088523771663139,1.3679800866703562,0.3070729434987421,1.1631863592160478,0.5192650543452378,1.3444922014102842,2.7446851442344964,2.4304122746861587,2.9669150911913404,1.2481573434725044,1.7991661498930351,0.17340401113045192,-0.5396046641332355,1.958652905969554,1.1696855706749543,0.3827786435070211
Map7d3,-0.6405577587047155,-0.8928304788915924,0.22077738876805658,1.110043405786381,3.397698730105598,-0.0790279964865532,1.4164981108663588,5.04657000506669,2.6266616776713163,-2.2778474066566847,8.728521545315955,1.6264402650685958,-0.31382941624034455,11.23175412343341,14.265456616443505,6.870109560195761
Mapkapk2,0.06165290216681446,-0.2559134617706045,1.2905977070491021,2.6571271837256214,2.286975383694111,1.2672595808614024,2.9934989285587106,4.041046729085304,3.0160058615679386,0.14440261480716435,7.102244238148657,-1.4603328154752948,0.3639956680299816,7.657909987946237,9.615893006204878,7.757722086450982
Mapre1,-1.2214938334817977,0.22664154232441583,0.9402893375103067,2.4951179256705167,0.04958213642204544,1.7353131953316563,0.32522054770947745,3.7846821609518,2.531707018619548,-0.6127252034215246,7.117643397185067,-0.858989878312076,0.9135528319591514,5.812951706564304,5.722707234853737,4.92036446530299
