gene_name,p-value_Neo_IP,fold_change_Neo_IP,p-value_Van_IP,fold_change_Van_IP
0610009B22Rik,0.7838608525006194,-0.11910949181945067,0.9699120686022669,-0.14503333082645944
0610010K14Rik,0.821354203460442,0.005960033919492514,0.493292499443293,-0.1359189762058741
0610030E20Rik,0.015519611035300137,0.3602398789175944,0.9585664430171686,0.0077772271677001336
0610040J01Rik,0.9905446569292257,-0.003198807496837483,0.08319411242731876,-1.0474276807171465
1110002E22Rik,0.16244137774573475,-1.3259319675432413,0.9714445725540859,-0.16239409019693024
1110004F10Rik,0.6329505790493887,0.012263191806666043,0.142556132738151,0.42599099372534455
1110017D15Rik,0.3530266018634375,0.027412101755958523,0.13852526445145938,0.67009832146468
1110032F04Rik,0.8907073855123824,-0.059490759242132735,0.11118061034557356,1.3680251239239112
1110038F14Rik,0.5007117021189033,-0.06783122545644427,0.23371223019729123,-0.133010177555154
1110059E24Rik,0.06397489622631414,0.31202435428108627,0.3580100732617557,0.09072408562070838
1110059G10Rik,0.5291272157323583,-0.04515655019603841,0.21371551985524775,-0.4567872769501794
1110065P20Rik,0.962354202691425,-0.14852899929832267,0.5245616936877208,0.06951400876204696
1190005I06Rik,0.6615196173976367,0.3230208711177046,0.14844945467411058,0.6446210605720918
1500009L16Rik,0.3310546949917066,0.18245204899125533,0.5186174699423785,0.22343409503137998
1500011B03Rik,0.7155505225369654,-0.027733803209446368,0.03166606480638813,0.5517889107264833
1600012H06Rik,0.8958352350575476,-0.08172235716248652,0.15263915589486043,-0.61308841319393
1600014C10Rik,0.5416773027738182,0.3679968618282545,0.09889160203351204,0.8590266550721789
1600029O15Rik,0.20168349409007574,1.0497517774952305,0.019930699009082637,1.2902621260595057
1700001C19Rik,0.36192249382232067,1.2719970909243994,0.21104112577400627,1.5744449865004766
1700001J03Rik,0.17588241313125758,-0.24027170586933447,0.507322569402741,0.19894534130232158
1700001K19Rik,0.47458419391286955,-0.49071579568611945,0.8697876159757499,0.816130173883548
1700001O22Rik,0.8671718472385623,-0.011360864256935076,0.4974457592783935,-1.3923618042172972
1700001P01Rik,0.6371452221529208,0.538981466886128,0.30275176489361455,0.8820146820604619
1700003E16Rik,0.27460206023677664,0.13366756713281408,0.46392792305099306,-0.09959599201810844
1700003F12Rik,0.43625196828355994,0.14261670614155325,0.24223119037265184,0.04937524295597285
1700007E05Rik,0.09845335848247336,-0.36482972247870754,0.722322738148796,0.5427079365677827
1700008O03Rik,0.23850072602725964,-0.23238844615432158,0.9105445958449121,0.048896112207819135
1700010I14Rik,0.6387332748516364,-0.1748703951657574,0.6828543130076687,-0.6053081107597483
1700011L22Rik,0.9530730633255934,0.5847502433596385,0.7170723456504876,0.8644867067327471
1700016C15Rik,0.27062971363425575,-0.12255667424981442,0.5143085437830475,1.0203634966179247
1700016H13Rik,0.634921807373745,-0.6510548737771925,0.20049355607102584,-1.363506857394428
1700016K19Rik,0.5040105845955574,0.24177475238354584,0.6085935273100663,-0.7996061869063841
1700017B05Rik,0.543372588648608,0.2076671045395174,0.9941813163825648,0.6774952007609463
